TimeCanopy,QPACanopy,QPAsdCanopy,QPBCanopy,QPBsdCanopy,QPACanopyLog,QPBCanopyLog
1,83.64888889,0.811206996,88.12666667,0.946414286,-2.105647561,-1.157626097
2,91.76666667,0.971865331,87.43333333,1.580924483,-0.928223573,-0.61868966
3,87.30333333,1.807507389,86.17666667,1.334122544,-0.907372778,-0.60182726
4,85.81555556,0.962264562,89.65777778,1.00423695,-0.825017728,-0.555159005
5,93.06666667,0.68516016,93.06666667,0.68516016,-0.696777469,-0.467366078
6,78.73777778,1.101193516,85.38222222,1.262464276,-0.787714958,-0.395368596
7,10.56,1.217196232,27.74888889,5.827398039,-0.533076233,-0.300435563
8,34.27777778,1.352234548,47.56666667,3.141591953,-0.531374624,-0.242505265
9,35,1.693330052,48.37555556,1.277496587,-0.576585605,-0.36428106
10,38.00444444,2.576096914,50.68666667,0.914117668,-0.491925908,-0.327300383
11,43.20444444,1.699479586,55.33777778,0.609411779,-0.531374624,-0.286397403
12,39.44888889,2.895381593,59.46888889,1.415776627,-0.435268183,-0.360520841
13,50.88888889,2.799093328,65.39111111,1.947805349,-0.412870128,-0.325033875
14,50.97555556,3.706738275,69.29111111,1.711224744,-0.352320676,-0.333217456
15,48.72222222,3.658467263,61.34666667,1.814833938,-0.333080636,-0.303089799
16,53.02666667,4.061098647,63.65777778,2.090705475,-0.295229084,-0.153985026
17,50.97555556,4.132398789,66.31555556,2.109185672,-0.251878017,-0.24877871
18,56.11777778,4.081111565,61.57777778,3.102429952,-0.235724901,-0.204464467
19,57.38888889,3.216735942,63.80222222,2.81425823,-0.273975602,-0.285091373
20,60.97111111,4.185076809,63.28222222,3.891270065,-0.252306643,-0.406113308
21,62.15555556,3.48075148,65.21777778,3.091212356,-0.25703369,-0.355840364
22,64.55333333,2.993452113,75.70444444,1.73880156,-0.224404208,-0.336876211
23,67.41333333,2.977728441,68.85777778,2.461919857,-0.19442297,-0.265702892
24,68.51111111,2.072966503,71.97777778,1.286772208,-0.144699535,-0.27470409
25,65.94,3.429635549,66.40222222,1.72995968,-0.105442374,-0.221057062
26,67.38444444,3.798064972,58.83333333,3.365245575,,
27,67.06666667,3.62759792,61.86666667,3.401321639,,
28,69.29111111,3.530388885,63.05111111,3.727534352,,
29,71.4,3.831019592,67.70222222,3.952080246,,
30,75.04,3.48314832,67.09555556,3.842303675,,
31,78.04444444,3.202011135,70.79333333,3.454729448,,
