Time,value,variable,stream
1,1.907545953,Canopy,QPA
2,1.599415049,Canopy,QPA
3,1.588365213,Canopy,QPA
4,1.541040641,Canopy,QPA
5,1.453436019,Canopy,QPA
6,1.517465764,Canopy,QPA
7,1.308063248,Canopy,QPA
8,1.306296983,Canopy,QPA
9,1.35123542,Canopy,QPA
10,1.263558008,Canopy,QPA
11,1.306296983,Canopy,QPA
12,1.195487221,Canopy,QPA
1,1.821176338,Canopy,QPB
2,1.500571154,Canopy,QPB
3,1.485023923,Canopy,QPB
4,1.43922313,Canopy,QPB
5,1.340156637,Canopy,QPB
6,1.243098488,Canopy,QPB
7,1.085139186,Canopy,QPB
8,0.965580786,Canopy,QPB
9,1.195661648,Canopy,QPB
10,1.134008845,Canopy,QPB
11,1.058064774,Canopy,QPB
12,1.189664629,Canopy,QPB
1,-0.28967553,chl-a,QPA
2,0.288179576,chl-a,QPA
3,0.452859637,chl-a,QPA
4,-0.117854971,chl-a,QPA
5,-0.5143564,chl-a,QPA
6,0.225704299,chl-a,QPA
7,0.122225652,chl-a,QPA
8,-0.359384038,chl-a,QPA
9,-0.338058219,chl-a,QPA
10,0.614516928,chl-a,QPA
11,1.191025146,chl-a,QPA
12,0.131158445,chl-a,QPA
13,0.323077375,chl-a,QPA
14,-0.812781067,chl-a,QPA
1,-0.918657663,chl-a,QPB
2,-0.357707522,chl-a,QPB
3,-0.595441674,chl-a,QPB
4,-0.84326853,chl-a,QPB
5,-1.168300959,chl-a,QPB
6,-0.243954747,chl-a,QPB
7,-0.447141211,chl-a,QPB
8,-1.008017293,chl-a,QPB
9,-0.273865811,chl-a,QPB
10,-0.387846781,chl-a,QPB
11,-0.171091571,chl-a,QPB
12,0.024479054,chl-a,QPB
13,-0.109711891,chl-a,QPB
14,-1.654887464,chl-a,QPB
1,-2.328879891,Leaf,QPA
2,-2.786026878,Leaf,QPA
3,-2.189110175,Leaf,QPA
4,-2.120480936,Leaf,QPA
5,-1.931042585,Leaf,QPA
6,-2.680962702,Leaf,QPA
7,-0.064081888,Leaf,QPA
8,-1.897907023,Leaf,QPA
9,-2.603476724,Leaf,QPA
10,-1.808288817,Leaf,QPA
11,-1.496896265,Leaf,QPA
12,-1.388419861,Leaf,QPA
13,-0.975554355,Leaf,QPA
14,-0.563222204,Leaf,QPA
